设施名称,类型,东西长度_米,南北宽度_米,面积_平方米,面积_平方公里,位置描述,备注
西市,商业区,970.0,650.0,630500.0,0.63,未央宫西北部,手工业与商业中心
东市,商业区,780.0,650.0,507000.0,0.51,北宫与长乐宫之间,商业贸易区
武库,军事设施,710.0,322.0,228620.0,0.23,未央宫与长乐宫之间,中央兵器库，有大量库房
长安城城墙,防御设施,25700.0,,,,城市边界,夯土筑成，基宽12-16米
安门大街,城市干道,,45.0,,,南北向主干道,中央为皇帝专用的驰道
